Entity,Code,Year,Temperature anomaly,time
Morocco,MAR,2024,1.4857854,2024
Mozambique,MOZ,2024,1.0030007,2024
Myanmar,MMR,2024,0.7602746,2024
Namibia,NAM,2024,1.2846528,2024
Nepal,NPL,2024,0.86878735,2024
Netherlands,NLD,2024,1.2579478,2024
New Caledonia,NCL,2024,0.5602142,2024
New Zealand,NZL,2024,0.46268156,2024
Nicaragua,NIC,2024,1.0662202,2024
Niger,NER,2024,0.6004078,2024
Nigeria,NGA,2024,0.70471764,2024
North Korea,PRK,2024,1.8356419,2024
North Macedonia,MKD,2024,1.6314411,2024
Norway,NOR,2024,1.1679968,2024
Oman,OMN,2024,0.92674035,2024
Pakistan,PAK,2024,0.704758,2024
Palestine,PSE,2024,1.035098,2024
Panama,PAN,2024,0.77382755,2024
Papua New Guinea,PNG,2024,0.860099,2024
Paraguay,PRY,2024,1.4286791,2024
Peru,PER,2024,1.2191558,2024
Philippines,PHL,2024,0.8273401,2024
Poland,POL,2024,2.1880739,2024
Portugal,PRT,2024,0.82940245,2024
Puerto Rico,PRI,2024,1.0996374,2024
Qatar,QAT,2024,0.8903942,2024
Romania,ROU,2024,2.119537,2024
Russia,RUS,2024,1.2474487,2024
Rwanda,RWA,2024,1.3497568,2024
Saint Vincent and the Grenadines,VCT,2024,1.003523,2024
Samoa,WSM,2024,0.5509103,2024
Sao Tome and Principe,STP,2024,0.74123734,2024
Saudi Arabia,SAU,2024,1.1555504,2024
Senegal,SEN,2024,0.43549633,2024
Serbia,SRB,2024,2.0625718,2024
Seychelles,SYC,2024,0.69338876,2024
Sierra Leone,SLE,2024,1.1364164,2024
Slovakia,SVK,2024,2.1164286,2024
Slovenia,SVN,2024,1.3740352,2024
Solomon Islands,SLB,2024,0.83790034,2024
Somalia,SOM,2024,1.0795614,2024
South Africa,ZAF,2024,1.0059483,2024
South Korea,KOR,2024,1.7615885,2024
South Sudan,SSD,2024,1.5061702,2024
Spain,ESP,2024,0.9031634,2024
Sri Lanka,LKA,2024,0.6918435,2024
Sudan,SDN,2024,0.5841605,2024
Suriname,SUR,2024,1.1981249,2024
Sweden,SWE,2024,0.8898261,2024
Switzerland,CHE,2024,1.4665651,2024
Syria,SYR,2024,1.5015124,2024
Tajikistan,TJK,2024,1.1331336,2024
Tanzania,TZA,2024,0.4383327,2024
Thailand,THA,2024,1.0155298,2024
Togo,TGO,2024,0.9087723,2024
Trinidad and Tobago,TTO,2024,1.0156889,2024
Tunisia,TUN,2024,1.4212494,2024
Turkey,TUR,2024,1.7049693,2024
Turkmenistan,TKM,2024,0.8112672,2024
Uganda,UGA,2024,1.0464215,2024
Ukraine,UKR,2024,2.3942368,2024
United Arab Emirates,ARE,2024,0.9827673,2024
United Kingdom,GBR,2024,0.6734039,2024
United States,USA,2024,1.1217383,2024
Uruguay,URY,2024,0.0529383,2024
Uzbekistan,UZB,2024,0.95854145,2024
Vanuatu,VUT,2024,0.63393193,2024
Venezuela,VEN,2024,1.2222146,2024
Vietnam,VNM,2024,0.94464874,2024
Yemen,YEM,2024,1.4151019,2024
Zambia,ZMB,2024,0.77405137,2024
Zimbabwe,ZWE,2024,1.3649564,2024
